,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.93,18.42,287.59,62,0,3.1,ZA,1598471286
1,Carnarvon,-24.87,113.63,290.15,77,0,6.2,AU,1598471649
2,Ushuaia,-54.8,-68.3,279.15,52,40,1.5,AR,1598471649
3,Severo-Kuril'sk,50.68,156.12,285.09,90,100,6.89,RU,1598471117
4,Hong Kong,22.29,114.16,300.93,88,40,1.0,HK,1598471649
5,Mataura,-46.19,168.86,278.31,95,100,2.0,NZ,1598470899
6,Grevená,40.08,21.43,293.15,77,0,1.0,GR,1598471649
7,Adré,13.47,22.2,297.29,82,97,3.15,TD,1598471606
8,Zabul Province,32.25,67.25,294.65,60,90,1.1,AF,1598471650
9,Rikitea,-23.12,-134.97,293.41,59,0,1.98,PF,1598471650
10,Itarema,-2.92,-39.92,300.3,70,0,7.59,BR,1598471443
11,Puerto Ayora,-0.74,-90.35,298.15,57,77,8.7,EC,1598470900
12,Nikolskoye,59.7,30.79,287.15,71,40,1.78,RU,1598471117
13,Mar del Plata,-38.0,-57.56,287.15,100,75,7.7,AR,1598471364
14,Bilma,18.69,12.92,305.59,37,98,4.71,NE,1598471398
15,Luanda,-8.84,13.23,296.15,83,20,4.6,AO,1598471326
16,Port Hedland,-20.32,118.57,291.15,82,0,2.1,AU,1598471651
17,Waddān,29.16,16.14,300.09,45,0,7.57,LY,1598471651
18,Bredasdorp,-34.53,20.04,284.1,77,4,5.01,ZA,1598471651
19,Sapa,5.15,120.32,301.3,75,88,2.94,PH,1598471652
20,Salalah,17.02,54.09,298.15,94,90,1.5,OM,1598471652
21,Kapaa,22.08,-159.32,301.15,74,40,6.7,US,1598471652
22,Ancud,-41.87,-73.82,284.26,100,90,5.7,CL,1598471652
23,Paamiut,61.99,-49.67,279.91,78,30,2.33,GL,1598471652
24,Uporovo,56.31,66.27,284.92,92,0,0.09,RU,1598471653
25,Butaritari,3.07,172.79,300.63,70,2,1.77,KI,1598471653
